major_rock_2,major_rock_3,major_rock_4,major_rock_5,minor_rock_1,minor_rock_2,minor_rock_3,minor_rock_4,minor_rock_5
Andesite / Basaltic Andesite,Dacite, , , , , , , 
Andesite / Basaltic Andesite,Trachyte / Trachydacite, , , , , , , 
Phono-tephrite /  Tephri-phonolite,Phonolite,Trachyte / Trachydacite,Basalt / Picro-Basalt, , , , , 
 , , , ,Dacite, , , , 
 , , , , , , , , 
 , , , , , , , , 
Dacite, , , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Basalt / Picro-Basalt,Dacite, , , , , , , 
 , , , , , , , , 
Dacite,Basalt / Picro-Basalt,Rhyolite, , , , , , 
Basalt / Picro-Basalt,Dacite, , , , , , , 
Dacite, , , , , , , , 
Trachybasalt / Tephrite Basanite, , , , , , , , 
Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , ,Trachyte / Trachydacite, , , , 
Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Trachybasalt / Tephrite Basanite, , , ,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite, , 
Dacite,Basalt / Picro-Basalt, , , , , , , 
Andesite / Basaltic Andesite,Rhyolite,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite, , , , , 
Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Andesite / Basaltic Andesite, , , , , , 
 , , , , , , , , 
 , , , ,Rhyolite,Basalt / Picro-Basalt, , , 
Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite,Phono-tephrite /  Tephri-phonolite, , , , , 
Basalt / Picro-Basalt,Rhyolite,Dacite, , , , , , 
 , , , , , , , , 
 , , , , , , , , 
Andesite / Basaltic Andesite,Rhyolite, , , , , , , 
Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite, , ,Trachyte / Trachydacite,Foidite, , , 
Dacite, , , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Rhyolite, , , , , , , , 
 , , , , , , , , 
Phonolite, , , , , , , , 
 , , , ,Dacite, , , , 
Trachyte / Trachydacite, , , ,Basalt / Picro-Basalt, , , , 
 , , , , , , , , 
 , , , ,Trachybasalt / Tephrite Basanite,Trachyte / Trachydacite, , , 
 , , , ,Andesite / Basaltic Andesite, , , , 
Andesite / Basaltic Andesite, , , , , , , , 
 , , , , , , , , 
Trachybasalt / Tephrite Basanite, , , , , , , , 
Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite,Trachybasalt / Tephrite Basanite,Andesite / Basaltic Andesite, , , , , 
Dacite, , , , , , , , 
Dacite,Basalt / Picro-Basalt, , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt, ,Trachyte / Trachydacite, , , , 
Rhyolite,Basalt / Picro-Basalt, , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
 , , , , , , , , 
Basalt / Picro-Basalt, , , ,Dacite, , , , 
Andesite / Basaltic Andesite, , , , , , , , 
 , , , ,Basalt / Picro-Basalt, , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
 , , , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Dacite, , , ,Rhyolite, , , , 
Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , ,Rhyolite, , , , 
Dacite, , , , , , , , 
 , , , , , , , , 
